lesson_num,module,lesson_desc,lesson_file
1,Day 1,RStudio Server Setup,r_rstudio_server_setup
2,Day 1,Git and Github Setup,git_setup
3,Day 1,Literate Analysis with Quarto,r_quarto_literate_analysis
4,Day 1,LEGO reproducibility,activity_reproducibility_lego
5,Day 1,Publishing and accessing data,blank_placeholder
6,Day 1,Logic model,
7,Day 2,Hands on synthesis,
8,Day 2,Data Modeling Essentials,
9,Day 2,FAIR and CARE principles,
10,Day 3,Introduction to Git and GitHub,github_introduction
11,Day 3,Reproducible Data Access,lecture_data_mgmt_reproducibility
12,Day 3,Hands on Synthesis,
13,Day 4,Cleaning and Wrangling Data,r_tidyverse_clean_wrangle
14,Day 4,Practice: Cleaning and Wrangling Data,r_practice_clean_wrangle_visualize
15,Day 4,Creating Functions in R,r_functions
16,Day 4,Creating R Packages,r_packages
17,Day 4,Hands on Synthesis,
18,Day 5,Reproducibility & Provenance,r_provenance_reproducibility